5000, 2.790, 59793, 21431.184, 5
5000, 1.276, 59793, 46859.719, 6
5000, 4.334, 59793, 13796.262, 6
5000, 1.277, 59793, 46823.023, 5
5000, 3.545, 59793, 16866.854, 3
5000, 4.878, 59793, 12257.688, 8
5000, 3.026, 59793, 19759.748, 8
5000, 5.050, 59793, 11840.197, 9
5000, 3.596, 59793, 16627.643, 10
5000, 1.316, 59793, 45435.410, 5
5000, 3.481, 59793, 17176.961, 6
5000, 3.921, 59793, 15249.426, 9
5000, 2.280, 59793, 26225.000, 8
5000, 4.494, 59793, 13305.073, 10
5000, 3.890, 59793, 15370.951, 4
5000, 1.745, 59793, 34265.328, 16
5000, 4.479, 59793, 13349.631, 9
5000, 1.499, 59793, 39888.594, 10
5000, 4.972, 59793, 12025.945, 11
5000, 4.291, 59793, 13934.515, 6
10000, 3.320, 59793, 18009.939, 7
10000, 2.526, 59793, 23671.021, 5
10000, 2.594, 59793, 23050.500, 6
10000, 1.246, 59793, 47987.961, 6
10000, 1.384, 59793, 43203.035, 7
10000, 1.267, 59793, 47192.582, 3
10000, 3.113, 59793, 19207.518, 7
10000, 3.573, 59793, 16734.678, 7
10000, 2.747, 59793, 21766.654, 5
10000, 3.328, 59793, 17966.646, 7
10000, 4.140, 59793, 14442.754, 13
10000, 2.006, 59793, 29807.078, 1
10000, 2.743, 59793, 21798.396, 3
10000, 2.821, 59793, 21195.674, 6
10000, 4.273, 59793, 13993.214, 10
10000, 2.087, 59793, 28650.217, 1
10000, 2.985, 59793, 20031.156, 4
10000, 2.651, 59793, 22554.885, 5
10000, 2.142, 59793, 27914.566, 1
10000, 0.462, 59793, 129422.078, 6
15000, 0.383, 59793, 156117.500, 6
15000, 2.855, 59793, 20943.258, 5
15000, 1.620, 59793, 36909.258, 1
15000, 1.757, 59793, 34031.305, 1
15000, 1.956, 59793, 30569.020, 2
15000, 1.034, 59793, 57826.883, 2
15000, 1.322, 59793, 45229.199, 0
15000, 2.662, 59793, 22461.684, 4
15000, 3.456, 59793, 17301.215, 9
15000, 1.961, 59793, 30491.076, 2
15000, 0.198, 59793, 301984.844, 2
15000, 0.201, 59793, 297477.594, 2
15000, 3.653, 59793, 16368.190, 8
15000, 0.877, 59793, 68179.023, 2
15000, 1.640, 59793, 36459.148, 2
15000, 2.663, 59793, 22453.248, 4
15000, 1.976, 59793, 30259.615, 2
15000, 1.707, 59793, 35028.121, 1
15000, 1.311, 59793, 45608.695, 0
15000, 0.919, 59793, 65063.109, 1
20000, 1.805, 59793, 33126.316, 7
20000, 1.408, 59793, 42466.621, 1
20000, 2.927, 59793, 20428.084, 5
20000, 1.727, 59793, 34622.465, 2
20000, 1.076, 59793, 55569.703, 0
20000, 1.084, 59793, 55159.594, 0
20000, 1.064, 59793, 56196.430, 0
20000, 1.007, 59793, 59377.359, 0
